Word,Tag,Lemma,CorrectWord
fjárlög,nhfn,fjárlög,fjárlög
yrðu,svg3fþ,verða,yrðu
væntanlega,aa,væntanlega,væntanlega
ekki,aa,ekki,ekki
afgreidd,sþghfn,afgreiða,afgreidd
á,aþ,á,á
tilskildum,lkeþsf,tilskilinn,tilskildum
tíma,nkeþ,tími,tíma
",",",",",",","
sama,fbheþ,sami,sama
máli,nheþ,mál,máli
gegnir,sfg3en,gegna,gegnir
um,ao,um,um
lánsfjáráætlun,nveo,lánsfjáráætlun,lánsfjáráætlun
og,c,og,og
hlyti,svg1eþ,hljóta,hlyti
af,aþ,af,af
því,fpheþ,það,því
að,cn,að,að
skapast,snm,skapa,skapast
mikil,lvensf,mikill,mikil
6vissa,ta,6vissa,óvissa
um,ao,um,um
margvíslegar,lvfosf,margvíslegur,margvíslegar
framkvæmdir,nvfo,framkvæmd,framkvæmdir
.,.,.,.
,,,
Verðbólga,nven,verðbólga,Verðbólga
mundi,svg3eþ,munu,mundi
vafalaust,aa,vafalaust,vafalaust
magnast,snm,magna,magnast
meðan,c,meðan,meðan
kosningabarátta,nven,kosningabarátta,kosningabarátta
stæði,svg3eþ,standa,stæði
yitr,nhen,yitr,yfir
því,fpheþ,það,því
að,c,að,að
á,aþ,á,á
því,faheþ,það,því
tímabili,nheþ,tímabil,tímabili
yrði,svg3eþ,verða,yrði
erfitt,lhensf,erfiður,erfitt
að,cn,að,að
beita,sng,beita,beita
nokkrum,fohfþ,nokkur,nokkrum
úrræðum,nhfþ,úrræði,úrræðum
til,ae,til,til
að,cn,að,að
hemja,sng,hemja,hemja
hana,fpveo,hún,hana
.,.,.,.
,,,
Það,fphen,það,Það
er,sfg3en,vera,er
að,aþ,að,að
vísu,lheþsf,vís,vísu
ekki,aa,ekki,ekki
ólögiegt,e,ólögiegt,ólöglegt
",",",",",",","
en,c,en,en
því,aa,því,því
geta,sfg3fn,geta,geta
fylgt,ssg,fylgja,fylgt
ýmis,fohfn,ýmis,ýmis
vandkvæði,nheþ,vandkvæði,vandkvæði
.,.,.,.
,,,
Rýmka,sng,rýmka,Rýmka
má,sfg3en,mega,má
heimitdir,nkfn,heimitdur,heimildir
ef,c,ef,ef
þörf,nveþ,þörf,þörf
þætti,svg3eþ,þykja,þætti
að,cn,að,að
fresta,sng,fresta,fresta
kosningum,nvfþ,kosning,kosningum
í,aþ,í,í
þeim,fahfþ,það,þeim
kjördæmum,nhfþ,kjördæmi,kjördæmum
",",",",",",","
þar,aa,þar,þar
sem,c,sem,sem
kjörsókn,nven,kjörsókn,kjörsókn
yrði,svg3eþ,verða,yrði
torvelduð,sfg2fþ,torvelja,torvelduð
af,aþ,af,af
völdum,nhfþ,vald,völdum
veðurfars,nhee,veðurfar,veðurfars
eða,c,eða,eða
samgönguerfiðleika,nkfe,samgönguerfiðleikar,samgönguerfiðleika
",",",",",",","
og,c,og,og
fresta,sfg3fn,fresta,fresta
þar,aa,þar,þar
með,aþ,með,með
talningu,nveþ,talning,talningu
almennt,aa,almennt,almennt
í,aþ,í,í
þeim,favfþ,hún,þeim
kosningum,nvfþ,kosning,kosningum
",",",",",",","
sem,ct,sem,sem
þá,aa,þá,þá
færu,svg3fþ,fara,færu
fram,aa,fram,fram
",",",",",",","
til,ae,til,til
þess,fphee,það,þess
að,cn,að,að
gefa,sng,gefa,gefa
öllum,fokfþ,allur,öllum
landsmönnum,nkfþ,landsmaður,landsmönnum
kost,nkeo,kostur,kost
á,aþ,á,á
að,cn,að,að
láta,sng,láta,láta
vilja,nkeo,vilji,vilja
sinn,fekeo,sinn,sinn
í,ao,í,í
ljós,nheo,ljós,ljós
við,ao,við,við
kjörborðið,nheog,kjörborð,kjörborðið
.,.,.,.
,,,
Þá,aa,þá,Þá
nefndi,sfg3eþ,nefna,nefndi
hæstv.,lkensf,hæstv.,hæstv.
forsrh.,nken,forsrh.,forsrh.
að,c,að,að
fjárlög,nhfn,fjárlög,fjárlög
væru,svg3fþ,vera,væru
ekki,aa,ekki,ekki
afgreidd,sþgven,afgreiða,afgreidd
",",",",",",","
að,c,að,að
kjarasámningar,nkfn,kjarasámningur,kjarasamningar
væru,svg3fþ,vera,væru
tausir,lkfnsf,taus,lausir
og,c,og,og
ýmis,fohfn,ýmis,ýmis
viðfangsefni,nhfn,viðfangsefni,viðfangsefni
og,c,og,og
vandamál,nhfn,vandamál,vandamál
óleyst,lhfnsf,óleystur,óleyst
.,.,.,.
,,,
Varðandi,slg,varða,Varðandi
lánsfjáráætlun,nven,lánsfjáráætlun,lánsfjáráætlun
má,sfg3en,mega,má
á,ao,á,á
það,fpheo,það,það
benda,sng,benda,benda
",",",",",",","
að,c,að,að
tánsfjáráætlun,nven,tánsfjáráætlun,lánsfjáráætlun
fyrir,ao,fyrir,fyrir
yfirstandandi,lheoof,yfirstandandi,yfirstandandi
ár,nhfo,ár,ár
var,sfg3eþ,vera,var
ekki,aa,ekki,ekki
afgreidd,sþgven,afgreiða,afgreidd
fyrr,aam,fyrr,fyrr
en,c,en,en
í,aþ,í,í
maímánuði,nkeþ,maímánuður,maímánuði
s.l.,as,s.l.,s.l.
,,,
En,c,en,En
samkv.,lheþsf,samkv.,samkv.
forsögu,nvee,forsaga,forsögu
mátsins,nkeeg,mátur,málsins
og,c,og,og
eins,aa,eins,eins
og,c,og,og
málum,nhfþ,mál,málum
þjóðarinnar,nveeg,þjóð,þjóðarinnar
er,sfg3en,vera,er
nú,aa,nú,nú
komið,sþghen,koma,komið
er,sfg3en,vera,er
það,fphen,það,það
skoðun,nven,skoðun,skoðun
Sjálfstfl.,nvee-s,Sjálfstfl.,Sjálfstfl.
",",",",",",","
að,c,að,að
það,fphen,það,það
væri,svg3eþ,vera,væri
ábyrgðarleysi,nhen,ábyrgðarleysi,ábyrgðarleysi
að,cn,að,að
standa,sng,standa,standa
að,aþ,að,að
slíkum,fbkeþ,slíkur,slíkum
þingmeirihluta,nkeþ,þingmeirihluti,þingmeirihluta
",",",",",",","
er,ct,er,er
myndaði,sfg3eþ,mynda,myndaði
nýja,lveosf,nýr,nýja
stjórn,nveo,stjórn,stjórn
",",",",",",","
án,ae,án,án
þess,fphee,það,þess
að,c,að,að
kjósendur,nken,kjósendur,kjósendur
fengju,svg3fþ,fá,fengju
áður,aa,áður,áður
tækifæri,nheo,tækifæri,tækifæri
til,ae,til,til
að,cn,að,að
kveða,sng,kveða,kveða
upp,ao,upp,upp
sinn,fekeo,sinn,sinn
dóm,nkeo,dómur,dóm
og,c,og,og
mynda,sng,mynda,mynda
ábyrgan,lkeosf,ábyrgur,ábyrgan
meiri,lhfovm,mikill,meiri
hl.,nhfo,hl.,hl.
á,aþ,á,á
Alþingi,nheþ-s,Alþingi,Alþingi
Íslendinga,nkfe-s,Íslendingur,Íslendinga
.,.,.,.
,,,
Alþfl.,nkeo,Alþfl.,Alþfl.
gekk,sfg3eþ,ganga,gekk
til,ae,til,til
þess,fahee,það,þess
stjórnarsamstarfs,nhee,stjórnarsamstarf,stjórnarsamstarfs
sem,ct,sem,sem
nú,aa,nú,nú
er,sfg3en,vera,er
að.ljúka,sng,að.ljúka,að.ljúka
",",",",",",","
fyrir,aa,fyrir,fyrir
liðlega,aa,liðlega,liðlega
13,ta,13,13
mánuðum,nkfþ,mánuður,mánuðum
með,ao,með,með
miklar,lvfosf,mikill,miklar
vonir,nvfo,von,vonir
um,aa,um,um
að,aþ,að,að
stjórninni,nveþg,stjórn,stjórninni
mundi,svg3eþ,munu,mundi
takast,snm,taka,takast
að,cn,að,að
vinna,sng,vinna,vinna
á,aþ,á,á
hinum,fahfþ,hinn,hinum
alvarlegu,lhfþvf,alvarlegur,alvarlegu
efnahagsvandræðum,nhfþ,efnahagsvandræði,efnahagsvandræðum
",",",",",",","
sem,ct,sem,sem
þjakað,ssg,þjaka,þjakað
hafa,sfg3fn,hafa,hafa
þjóðina,nveog,þjóð,þjóðina
",",",",",",","
og,c,og,og
koma,sfg3fn,koma,koma
fjöldamörgum,lhfþsf,fjöldamargur,fjöldamörgum
góðum,lhfþsf,góður,góðum
málum,nhfþ,mál,málum
tit,lvensf,titur,til
leiðar,nvee,leið,leiðar
.,.,.,.
,,,
Við,fp1fn,ég,Við
höfum,sfg1fn,hafa,höfum
stigið,ssg,stíga,stigið
þetta,faheo,þessi,þetta
skref,nheo,skref,skref
vegna,ae,vegna,vegna
þess,fphee,það,þess
að,c,að,að
okkur,fp1fþ,ég,okkur
þykir,sfg3en,þykja,þykir
lítill,lkensf,lítill,lítill
árangur,nken,árangur,árangur
hafa,sfg3fn,hafa,hafa
náðst,ssm,ná,náðst
í,aþ,í,í
baráttu,nveþ,barátta,baráttu
gegn,aþ,gegn,gegn
spillingu,nveþ,spilling,spillingu
og,c,og,og
misrétti,nheþ,misrétti,misrétti
sem,ct,sem,sem
við,fp1fn,ég,við
tögðum,sfg1fþ,teggja,lögðum
mikla,lveosf,mikill,mikla
áherslu,nveo,áhersla,áherslu
á,aa,á,á
í,aþ,í,í
síðustu,lveþve,síðari,síðustu
kosningabaráttu,nveþ,kosningabarátta,kosningabaráttu
.,.,.,.
,,,
Við,fp1fn,ég,Við
viljum,sfg1fn,vilja,viljum
enn,aa,enn,enn
að,c,að,að
tekin,sþgven,taka,tekin
verði,svg3en,verða,verði
upp,ao,upp,upp
gerbreytt,lheosf,gerbreyttur,gerbreytt
efnahagsstefna,nven,efnahagsstefna,efnahagsstefna
",",",",",",","
en,c,en,en
vegna,ae,vegna,vegna
þess,fphee,það,þess
að,c,að,að
starf,nhen,starf,starf
í,aþ,í,í
ríkisstj.,nvfn,ríkisstj.,ríkisstj.
síðustu,lkfove,síðari,síðustu
tvo,tfkfo,tveir,tvo
mánuði,nkfo,mánuður,mánuði
hefur,sfg3en,hafa,hefur
leitt,ssg,leiða,leitt
í,ao,í,í
ljós,nheo,ljós,ljós
þann,fakeo,sá,þann
ágreining,nkeo,ágreiningur,ágreining
sem,ct,sem,sem
ég,fp1en,ég,ég
tiltók,sfg3eþ,tiltaka,tiltók
",",",",",",","
um,ao,um,um
fjárlög,nhfo,fjárlög,fjárlög
",",",",",",","
lánsfjáráætlun,nveo,lánsfjáráætlun,lánsfjáráætlun
",",",",",",","
þjóðhagsáætlun,nveo,þjóðhagsáætlun,þjóðhagsáætlun
",",",",",",","
meðferð,nveo,meðferð,meðferð
efnahagsmáta,lvenof,efnahagsmátur,efnahagsmáta
og,c,og,og
annað,fohen,annar,annað
sem,ct,sem,sem
því,fpheþ,það,því
viðkemur,sfg3en,viðkoma,viðkemur
",",",",",",","
þá,aa,þá,þá
óttumst,sfm1fþ,óttast,óttumst
við,fp1fn,ég,við
að,aa,að,að
að,aþ,að,að
öllu,foheþ,allur,öllu
óbreyttu,lheþsf,óbreyttur,óbreyttu
mundi,svg3eþ,munu,mundi
verða,sng,verða,verða
siglt,sþghen,sigla,siglt
út,aa,út,út
í,ao,í,í
svipað,lheosf,svipaður,svipað
stjórnarfar,nkfn,stjórnarfi,stjórnarfar
og,c,og,og
var,sfg3eþ,vera,var
í,ao,í,í
allan,fokeo,allur,allan
fyrravetur,nkeo,fyrravetur,fyrravetur
",",",",",",","
sem,ct,sem,sem
sagt,sþghen,segja,sagt
stöðugar,lvfnsf,stöðugur,stöðugar
",",",",",",","
gagnslausar,lvfnsf,gagnslaus,gagnslausar
skammtimalausnir,nvfn,skammtimalausn,skammtímalausnir
á,aþ,á,á
vandamálunum,nhfþg,vandamál,vandamálunum
",",",",",",","
án,ae,án,án
þess,fphee,það,þess
að,c,að,að
tekið,sþghen,taka,tekið
sé,svg3en,vera,sé
á,aþ,á,á
þeim,fphfþ,það,þeim
til,ae,til,til
frambúðar,nvee,frambúð,frambúðar
.,.,.,.
,,,
Ég,fp1en,ég,Ég
htýt,sfg1en,htjóta,hlýt
fyrst,aae,snemma,fyrst
að,cn,að,að
vekja,sng,vekja,vekja
athygii,nveo,athygii,athygli
á,aþ,á,á
því,fpheþ,það,því
",",",",",",","
að,c,að,að
það,fphen,það,það
er,sfg3en,vera,er
með,aþ,með,með
öllu,foheþ,allur,öllu
óvenjulegt,lhensf,óvenjulegur,óvenjulegt
og,c,og,og
óeðlilegt,lhensf,óeðlilegur,óeðlilegt
að,aþ,að,að
umr.,nveþ,umr.,umr.
um,ao,um,um
pólitískan,lkeosf,pólitískur,pólitískan
ágreining,nkeo,ágreiningur,ágreining
fari,svg3en,fara,fari
fram,aa,fram,fram
á,ao,á,á
Alþingi,nheo-s,Alþingi,Alþingi
áður,aa,áður,áður
en,c,en,en
þingsetningarfundi,nkfo,þingsetningarfundur,þingsetningarfundi
er,sfg3en,vera,er
lokið,sþghen,ljúka,lokið
og,c,og,og
Alþingi,nhen-s,Alþingi,Alþingi
hefur,sfg3en,hafa,hefur
kosið,ssg,kjósa,kosið
forseta,nkeþ,forseti,forseta
.,.,.,.
,,,
Af,aþ,af,Af
þessum,favfþ,þessi,þessum
ástæðum,nvfþ,ástæða,ástæðum
tel,sfg1en,telja,tel
ég,fp1en,ég,ég
að,aþ,að,að
umr.,nveþ,umr.,umr.
um,ao,um,um
pólitískan,lkeosf,pólitískur,pólitískan
ágreining,nkeo,ágreiningur,ágreining
",",",",",",","
sem,ct,sem,sem
allir,fokfn,allur,allir
landsmenn,nkfn,landsmaður,landsmenn
vita,sfg3fn,vita,vita
að,cn,að,að
er,sfg3en,vera,er
til,aa,til,til
og,c,og,og
það,fphen,það,það
í,aþ,í,í
ríkum,lkeþsf,ríkur,ríkum
mæli,nkeþ,mælir,mæli
",",",",",",","
um,ao,um,um
það,faheo,það,það
",",",",",",","
sem,ct,sem,sem
hefur,sfg3en,hafa,hefur
verið,ssg,vera,verið
að,cn,að,að
gerast,snm,gera,gerast
og,c,og,og
er,sfg3en,vera,er
að,cn,að,að
gerast,snm,gera,gerast
",",",",",",","
við,ao,við,við
þær,favfo,hún,þær
aðstæður,nvfo,aðstæður,aðstæður
",",",",",",","
sem,ct,sem,sem
eru,sfg3fn,vera,eru
hér,aa,hér,hér
á,aþ,á,á
Alþingi,nheþ-s,Alþingi,Alþingi
nú,aa,nú,nú
",",",",",",","
séu,svg3fn,vera,séu
ötdungis,nkee,ötdungir,öldungis
óeðlilegar,lvfnsf,óeðlilegur,óeðlilegar
.,.,.,.
,,,
En,c,en,En
umr.,nven,umr.,umr.
",",",",",",","
sem,ct,sem,sem
hér,aa,hér,hér
hafa,sng,hafa,hafa
orðið,ssg,verða,orðið
að,aþ,að,að
öðru,foheþ,annar,öðru
leyti,nheþ,leyti,leyti
um,ao,um,um
þann,fakeo,sá,þann
ágreining,nkeo,ágreiningur,ágreining
sem,ct,sem,sem
uppi,aa,uppi,uppi
er,sfg3en,vera,er
um,ao,um,um
málsmeðferð,nveo,málsmeðferð,málsmeðferð
",",",",",",","
þ.e.a.s.,as,þ.e.a.s.,þ.e.a.s.
um,ao,um,um
það,fpheo,það,það
",",",",",",","
hvort,fohen,hvor,hvort
núv.,lheþsf,núv.,núv.
stjórn,nven,stjórn,stjórn
hefði,svg3eþ,hafa,hefði
átt,ssg,eiga,átt
að,cn,að,að
rjúfa,sng,rjúfa,rjúfa
þing,nheo,þing,þing
og,c,og,og
efna,nhfe,efni,efna
til,ae,til,til
kosninga,nvfe,kosning,kosninga
",",",",",",","
-,-,-,---
umr.,nveo,umr.,umr.
um,ao,um,um
það,faheo,það,það
atriði,nheo,atriði,atriði
eru,sfg3fn,vera,eru
hér,aa,hér,hér
óeðlilegar,lvfnsf,óeðlilegur,óeðlilegar
.,.,.,.
,,,
Hitt,fahen,hinn,Hitt
er,sfg3en,vera,er
svo,aa,svo,svo
aftur,aa,aftur,aftur
annað,fohen,annar,annað
mál,nhen,mál,mál
",",",",",",","
að,c,að,að
það,fphen,það,það
er,sfg3en,vera,er
ötdungis,nkee,ötdungir,öldungis
óvenjulegt,lhensf,óvenjulegur,óvenjulegt
",",",",",",","
þegar,c,þegar,þegar
meiri,lhfevm,mikill,meiri
hl.,nhfe,hl.,hl.
á,aþ,á,á
Alþingi,nheþ-s,Alþingi,Alþingi
vill,sfg3en,vilja,vill
fá,sng,fá,fá
eitthvað,fohen,einhver,eitthvað
fram,aa,fram,fram
",",",",",",","
að,c,að,að
hann,fpken,hann,hann
heimti,svg3en,heimta,heimti
að,c,að,að
minni,lhfnvm,lítill,minni
hl.,nhfn,hl.,hl.
vinni,svg3fn,vinna,vinni
verkið,nheng,verk,verkið
.,.,.,.
,,,
---,ta,---,---
Þar,aa,þar,Þar
sem,c,sem,sem
ekki,aa,ekki,ekki
voru,sfg3fþ,vera,voru
fleiri,lkfnvm,margur,fleiri
tilnefndir,lkfnsf,tilnefndur,tilnefndir
en,c,en,en
kjósa,sng,kjósa,kjósa
skyldi,svg3eþ,skulu,skyldi
lýsti,sfg3eþ,lýsa,lýsti
forseti,nken,forseti,forseti
yfir,aa,yfir,yfir
að,c,að,að
kjömir,nkfn,kjömur,kjörnir
væru,svg3fþ,vera,væru
án,ae,án,án
atkvgr.,nvee,atkvgr.,atkvgr.
:,:,:,:
Friðrik,nken-s,Friðrik,Friðrik
Sophusson,nken-s,Sophusson,Sophusson
",",",",",",","
5.,ta,5.,5.
landsk.,nveþ,landsk.,landsk.
þm.,lheþsf,þm.,þm.
",",",",",",","
og,c,og,og
Páll,nken-s,Páll,Páll
Pétursson,nken-s,Pétursson,Pétursson
",",",",",",","
4.,ta,4.,4.
þm.,lheþsf,þm.,þm.
,,,
Oddur,nken-s,Oddur,Oddur
Ótafsson,nken-s,Ótafsson,Ólafsson
",",",",",",","
4.,ta,4.,4.
þm.,lheþsf,þm.,þm.
,,,
Þessu,faheþ,þessi,Þessu
næst,aae,nærri,næst
voru,sfg3fþ,vera,voru
kosnir,lkfnsf,kosinn,kosnir
skrifarar,nkfn,skrifari,skrifarar
deitdarinnar,nveeg,deitd,deildarinnar
",",",",",",","
að,c,að,að
viðhafðri,lveþsf,viðhafður,viðhafðri
hlutfallskosningu,nveþ,hlutfallskosning,hlutfallskosningu
.,.,.,.
,,,
Loks,aa,loks,Loks
var,sfg3eþ,vera,var
hlutað,sþghen,hluta,hlutað
um,ao,um,um
sæti,nheo,sæti,sæti
deildarmanna,nkfeg,deildarmur,deildarmanna
samkv.,lheþsf,samkv.,samkv.
þingsköpum,nhfþ,þingsköp,þingsköpum
",",",",",",","
og,c,og,og
fór,sfg3eþ,fara,fór
sætahtutunin,nhfog,sætahtutun,sætahlutunin
á,ao,á,á
þessa,faveo,þessi,þessa
leið,nveo,leið,leið
:,:,:,:
7.,ta,7.,7.
sæti,nhen,sæti,sæti
hlaut,sfg3eþ,hljóta,hlaut
Ólafur,nken-s,Ólafur,Ólafur
Ragnar,nken-s,Ragnar,Ragnar
Grímsson,nken-s,Grímsson,Grímsson
.,.,.,.
,,,
---,ta,---,---
---,ta,---,---
Jón,nken-s,Jón,Jón
G.,nken-s,G.,G.
Sótnes,nken-s,Sótnes,Sólnes
.,.,.,.
,,,
---,ta,---,---
-,-,-,---
Geir,nkeþ-s,Geir,Geir
Gunnarsson,nkeþ-s,Gunnarsson,Gunnarsson
.,.,.,.
,,,
Gits,nhee,git,Gils
Guðmundsson,nken-s,Guðmundsson,Guðmundsson
",",",",",",","
3.,ta,3.,3.
þm.,lheþsf,þm.,þm.
,,,
Kosningu,nveþ,kosning,Kosningu
htaut,sfg3eþ,htjóta,hlaut
Árni,nken-s,Árni,Árni
Gunnarsson,nken-s,Gunnarsson,Gunnarsson
",",",",",",","
11.,ta,11.,11.
landsk.,nveþ,landsk.,landsk.
þm.,lheþsf,þm.,þm.
",",",",",",","
með,aþ,með,með
22,ta,22,22
atkv.,sbg2en,atkv.,atkv.
,,,
Ingvar,nhen,ingvar,Ingvar
Gíslason,nken-s,Gíslason,Gíslason
hlaut,sfg3eþ,hljóta,hlaut
14,ta,14,14
atkv.,lheþsf,atkv.,atkv.
",",",",",",","
en,c,en,en
2,ta,2,2
seðtar,nkfn,seðtur,seðlar
voru,sfg3fþ,vera,voru
auðir,lkfnsf,auður,auðir
.,.,.,.
,,,
Þegar,aa,þegar,Þegar
fymerandi,lkenof,fymerandi,fyrrverandi
hæstv.,nken,hæstv.,hæstv.
forsrh.,nvee,forsrh.,forsrh.
baðst,sfg2eþ,biðja,baðst
lausnar,nvee,lausn,lausnar
fyrir,ao,fyrir,fyrir
ráðuneyti,nheo,ráðuneyti,ráðuneyti
sitt,feheo,sinn,sitt
hóf,sfg3eþ,hefja,hóf
forseti,nken,forseti,forseti
Íslands,nhee-s,Ísland,Íslands
þegar,c,þegar,þegar
könnun,nven,könnun,könnun
á,aþ,á,á
myndun,nveþ,myndun,myndun
nýrrar,lveesf,nýr,nýrrar
ríkisstjórnar,nvee,ríkisstjórn,ríkisstjórnar
.,.,.,.
,,,
Nú,aa,nú,Nú
varð,sfg3eþ,verða,varð
það,fphen,það,það
ljóst,lhensf,ljós,ljóst
að,c,að,að
bæði,c,bæði,bæði
Alþfl.,nken-s,Alþfl.,Alþfl.
og,c,og,og
Sjálfstfl.,nhfn-s,Sjálfstfl.,Sjálfstfl.
