Word,Tag,Lemma
fyrr,aam,fyrr
en,c,en
28.,ta,28.
ágúst,nkeo,ágúst
s.l.,as,s.l.
og,c,og
þess,fphee,það
vegna,ae,vegna
gefst,sfm3en,gefa
lítill,lkensf,lítill
tími,nken,tími
til,ae,til
að,cn,að
undirbúa,sng,undirbúa
ýmis,fohfo,ýmis
þingmál,nhfo,þingmál
fyrir,ao,fyrir
venjulegan,lkeosf,venjulegur
samkomudag,nkeo,samkomudagur
reglulegs,lkeesf,reglulegur
Alþ.,nkee-s,Alþ.
",",",",","
10.,ta,10.
okt.,nvfo,okt.
n.k.,as,n.k.
því,fpheþ,það
hefur,sfg3en,hafa
þótt,c,þótt
ástæða,nven,ástæða
til,ae,til
að,cn,að
óska,sng,óska
eftir,aþ,eftir
þessari,faveþ,þessi
frestun,nveþ,frestun
á,aþ,á
samkomudegi,nkeþ,samkomudagur
reglulegs,lheesf,reglulegur
Alþingis,nhee-s,Alþingi
.,.,.
,,
Ég,fp1en,ég
vil,sfg1en,vilja
leyfa,sng,leyfa
mér,fp1eþ,ég
að,cn,að
leggja,sng,leggja
til,ae,til
",",",",","
að,c,að
frv.,aa,frv.
þessu,faheþ,þessi
verði,nheþ,verð
vísað,ssg,vísa
til,ae,til
2.,ta,2.
umr.,nven,umr.
og,c,og
allshn.,lheþsf,allshn.
",",",",","
og,c,og
mælist,sfm1en,mæla
enn,aa,enn
á,aa,á
ný,aa,ný
til,ae,til
þess,fphee,það
",",",",","
að,c,að
hv.,lkensf,hv.
þm.,lkensf,þm.
greiði,nken,greiði
fyrir,ao,fyrir
afgreiðslu,nveo,afgreiðsla
frv.,aa,frv.
sem,ct,sem
fyrst,aae,snemma
.,.,.
,,
Of,aa,of
skammt,aa,skammt
var,sfg3eþ,vera
liðið,sþghen,líða
frá,aþ,frá
1.,ta,1.
umr.,nveþ,umr.
og,c,og
útbýtingu,nveþ,útbýting
nál.,lveþsf,nál.
---,ta,---
Afbrigði,nhen,afbrigði
samþ.,lheþsf,samþ.
með,aþ,með
21,ta,21
shlj.,nvfn,shlj.
atkv.,lheþsf,atkv.
,,
Menntmrh.,nhfn,Menntmrh.
(,(,(
Magnús,nken-s,Magnús
T.,nkeþ-s,T.
Ólafsson,nken-s,Ólafsson
),),)
:,:,:
Það,fphen,það
er,sfg3en,vera
dálítið,aa,dálítið
einkennilegt,lhensf,einkennilegur
að,cn,að
taka,sng,taka
til,ae,til
máls,nhee,mál
",",",",","
eftir,ao,eftir
að,c,að
hér,aa,hér
hafa,sfg3fn,hafa
verið,ssg,vera
þuldar,sþgvfn,þylja
bölbænir,nvfn,bölbæn
úr,aþ,úr
ræðustól,nkeþ,ræðustóll
og,c,og
þeim,fpkfþ,hann
beint,aa,beint
bæði,c,bæði
fram,aa,fram
og,c,og
aftur,aa,aftur
.,.,.
,,
En,c,en
ég,fp1en,ég
mun,sfg1en,munu
láta,sng,láta
allt,foheo,allur
slíkt,fbheo,slíkur
ógert,lheosf,ógerður
",",",",","
vil,sfg1en,vilja
aðeins,aa,aðeins
vekja,sng,vekja
athygli,nveo,athygli
hv.,lheþsf,hv.
9.,ta,9.
þm.,lheþsf,þm.
,,
Reykv.,nven,Reykv.
á,aþ,á
því,fpheþ,það
",",",",","
að,c,að
ég,fp1en,ég
geri,sfg1en,gera
nokkurn,fokeo,nokkur
greinarmun,nkeo,greinarmunur
á,aþ,á
því,fpheþ,það
",",",",","
hvort,c,hvort
ég,fp1en,ég
tek,sfg1en,taka
afstöðu,nveo,afstaða
til,ae,til
mála,nhfe,mál
í,aþ,í
ríkisstjórn,nveþ,ríkisstjórn
",",",",","
sem,ct,sem
beðist,sfm3eþ,beða
hefur,sfg3en,hafa
lausnar,nvee,lausn
",",",",","
vegna,ae,vegna
þess,fphee,það
að,c,að
hana,fpveo,hún
skortir,sfg3en,skorta
þingmeirihluta,nkeo,þingmeirihluti
",",",",","
eða,c,eða
hvort,c,hvort
ég,fp1en,ég
tek,sfg1en,taka
afstöðu,nveo,afstaða
til,ae,til
mála,nhfe,mál
á,aþ,á
Alþingi,nheþ-s,Alþingi
.,.,.
,,
Það,fahen,það
",",",",","
sem,ct,sem
ég,fp1en,ég
lýsti,sfg1eþ,lýsa
yfir,aa,yfir
",",",",","
var,sfg1eþ,vera
",",",",","
að,c,að
ég,fp1en,ég
taldi,sfg1eþ,telja
rétt,aa,rétt
að,cn,að
láta,sng,láta
afgreiðslu,nveo,afgreiðsla
þessa,fahee,þessi
máls,nhee,mál
afskiptalausa,lheevf,afskiptalaus
í,aþ,í
ríkisstjórn,nveþ,ríkisstjórn
sökum,ae,sökum
þess,fphee,það
",",",",","
að,c,að
ég,fp1en,ég
skildi,sfg1eþ,skilja
það,fpheo,það
svo,aa,svo
og,c,og
því,fpheþ,það
var,sfg1eþ,vera
ómótmælt,lhensf,ómótmæltur
",",",",","
að,c,að
flokkar,nkfn,flokkur
",",",",","
sem,ct,sem
hafa,sfg3fn,hafa
tvímælalaust,aa,tvímælalaust
þingmeirihluta,nkeo,þingmeirihluti
",",",",","
óskuðu,sfg3fþ,óska
þeirrar,favee,sá
afgreiðslu,nvee,afgreiðsla
",",",",","
sem,ct,sem
þar,aa,þar
var,sfg3eþ,vera
uppi,aa,uppi
tillaga,nven,tillaga
um,ao,um
.,.,.
,,
Ég,fp1en,ég
taldi,sfg1eþ,telja
rétt,aa,rétt
",",",",","
að,c,að
á,ao,á
það,fpheo,það
reyndi,sfg1eþ,reyna
þá,aa,þá
á,ao,á
Alþingi,nheo-s,Alþingi
",",",",","
hversu,aa,hversu
þar,aa,þar
skiptist,sfm1eþ,skipta
milli,ae,milli
flokka,nkfe,flokkur
",",",",","
frekar,aam,frekar
en,c,en
að,cn,að
nota,sng,nota
aðstöðu,nveo,aðstaða
mína,feveo,minn
í,ao,í
ríkisstjórn,nveo,ríkisstjórn
",",",",","
sem,ct,sem
hefur,sfg3en,hafa
beðist,ssm,biðja
lausnar,nvee,lausn
og,c,og
mun,sfg3en,munu
að,aþ,að
öllum,fohfþ,allur
líkindum,nhfþ,líkindi
leyst,ssg,leysa
af,aþ,af
hólmi,nkeþ,hólmur
mjög,aa,mjög
bráðlega,aa,bráðlega
",",",",","
til,ae,til
þess,fphee,það
að,cn,að
fresta,sng,fresta
afgreiðslu,nvee,afgreiðsla
þessa,fahee,þessi
máls,nhee,mál
nokkra,fokfo,nokkur
daga,nkfo,dagur
.,.,.
,,
Of,aa,of
skammt,aa,skammt
var,sfg3eþ,vera
liðið,sþghen,líða
frá,aþ,frá
2.,ta,2.
umr.,nvee,umr.
---,ta,---
Afbrigði,nheþ,afbrigði
samþ.,lheþsf,samþ.
með,aþ,með
23,ta,23
shlj.,nvfn,shlj.
atkv.,lheþsf,atkv.
,,
Magnús,nken-s,Magnús
Kjartansson,nken-s,Kjartansson
:,:,:
Herra,nkee,herra
forseti,nken,forseti
.,.,.
,,
Ég,fp1en,ég
þarf,sfg1en,þurfa
nú,aa,nú
ekki,aa,ekki
að,cn,að
lengja,sng,lengja
þessar,favfo,þessi
umr.,nveo,umr.
um,ao,um
frv.,aa,frv.
sjálft,fbheo,sjálfur
.,.,.
,,
Mér,fp1eþ,ég
finnst,sfm3en,finna
",",",",","
að,c,að
þær,favfn,hún
röksemdir,nvfn,röksemd
",",",",","
sem,ct,sem
fram,aa,fram
hafa,sfg3fn,hafa
komið,ssg,koma
með,aa,með
og,c,og
móti,nheþ,mót
",",",",","
séu,svg3fn,vera
orðnar,sþgvfn,verða
ákaflega,aa,ákaflega
skýrar,aam,skýrt
.,.,.
,,
Mér,fp1eþ,ég
sýnist,sfm3en,sýna
",",",",","
að,c,að
við,aa,við
",",",",","
sem,ct,sem
teljum,sfg1fn,telja
",",",",","
að,c,að
það,fphen,það
séu,svg3fn,vera
ekki,aa,ekki
fullnægjandi,lhfnof,fullnægjandi
rök,nhfn,rök
fyrir,aþ,fyrir
því,fpheþ,það
að,cn,að
flytja,sng,flytja
þetta,faheo,þessi
frv.,aa,frv.
",",",",","
við,aa,við
stjórnarandstæðingar,nkfn,stjórnarandstæðingur
og,c,og
einn,tfken,einn
af,aþ,af
þm.,lheþsf,þm.
stjórnarinnar,nveeg,stjórn
a.m.k.,as,a.m.k.
",",",",","
sem,ct,sem
hefur,sfg3en,hafa
gert,ssg,gera
grein,nveo,grein
fyrir,aþ,fyrir
því,fpheþ,það
opinberlega,aa,opinberlega
",",",",","
hv.,lheþsf,hv.
þm.,lheþsf,þm.
,,
Jón,nken-s,Jón
Skaftason,nken-s,Skaftason
",",",",","
---,ta,---
við,fp1fn,ég
höfum,sfg1fn,hafa
ekki,aa,ekki
fengið,ssg,fá
neinar,fovfo,neinn
fullnægjandi,lvfoof,fullnægjandi
skýringar,nvfo,skýring
á,aþ,á
því,fpheþ,það
",",",",","
að,c,að
það,fphen,það
sé,svg3en,vera
ástæða,nven,ástæða
til,ae,til
að,cn,að
flytja,sng,flytja
þetta,faheo,þessi
frv.,aa,frv.
,,
Þess,fphee,það
vegna,ae,vegna
sé,sfg1en,sjá
ég,fp1en,ég
ekki,aa,ekki
ástæðu,nveo,ástæða
til,ae,til
að,cn,að
fara,sng,fara
að,cn,að
munnhöggvast,snm,munnhöggvast
neitt,fohen,neinn
frekar,aam,frekar
um,ao,um
það,fpheo,það
.,.,.
,,
En,c,en
það,fphen,það
er,sfg3en,vera
eitt,tfhen,einn
atriði,nhen,atriði
",",",",","
sem,ct,sem
mig,fp1eo,ég
langaði,sfg3eþ,langa
til,ae,til
að,cn,að
spyrja,sng,spyrja
um,aa,um
í,aþ,í
tilefni,nheþ,tilefni
af,aþ,af
því,fpheþ,það
",",",",","
sem,ct,sem
hér,aa,hér
hefur,sfg3en,hafa
komið,ssg,koma
fram,aa,fram
.,.,.
,,
Hv.,nhen,Hv.
þm.,lheþsf,þm.
,,
Þórarinn,nken-s,Þórarinn
Þórarinsson,nken-s,Þórarinsson
reyndi,sfg3eþ,reyna
að,cn,að
samræma,sng,samræma
málflutning,nkeo,málflutningur
tveggja,tfhfe,tveir
hæstv.,nhfe,hæstv.
ráðh.,nvfn,ráðh.
",",",",","
Halldórs,nkee-s,Halldór
E.,nkee-s,E.
Sigurðssonar,nkee-s,Sigurðsson
og,c,og
Matthíasar,nkee-s,Matthías
Á.,nken-s,Á.
Mathiesen,nken-s,Mathiesen
",",",",","
með,aþ,með
því,fpheþ,það
að,cn,að
segja,sng,segja
",",",",","
að,c,að
Halldór,nken-s,Halldór
hefði,svg3eþ,hafa
talað,ssg,tala
um,ao,um
innri,lkeovm,innri
vandann,nkeog,vandi
og,c,og
Matthías,nkeo-s,Matthías
um,ao,um
ytri,lkeovm,ytri
vandann,nkeog,vandi
og,c,og
hæstv.,lheosf,hæstv.
ráðh.,nheo,ráðh.
,,
Halldór,nken-s,Halldór
væri,svg3eþ,vera
eins,fokee,einn
konar,nkee,konar
innri,lkenvm,innri
fjmrh.,lkensf,fjmrh.
og,c,og
hæstv.,lkensf,hæstv.
ráðh.,lkensf,ráðh.
,,
Matthías,nken-s,Matthías
ytri,lvfnvm,ytri
fjmrh.,nvfn,fjmrh.
,,
Ég,fp1en,ég
held,sfg1en,halda
",",",",","
að,c,að
það,fphen,það
hafi,svg3en,hafa
verið,ssg,vera
þegar,c,þegar
hann,fpken,hann
var,sfg3eþ,vera
að,cn,að
mæla,sng,mæla
fyrir,ao,fyrir
munn,nkeo,munnur
ytri,lkeovm,ytri
fjmrh.,nkeo,fjmrh.
",",",",","
sem,ct,sem
hann,fpken,hann
komst,sfm3eþ,koma
svo,aa,svo
að,aþ,að
orði,nheþ,orð
",",",",","
að,c,að
eitt,tfhen,einn
af,aþ,af
vandamálum,nhfþ,vandamál
ríkisins,nheeg,ríki
væri,svg3eþ,vera
það,fphen,það
",",",",","
að,cn,að
afla,sng,afla
þyrfti,svg3eþ,þurfa
110,ta,110
millj.,tfvfe,millj.
kr.,nvfe,kr.
að,aþ,að
láni,nheþ,lán
til,ae,til
byggðalinu,nheþg,byggðal
",",",",","
sem,ct,sem
að,aþ,að
vísu,lheþsf,vís
verður,sfg3en,verða
ekki,aa,ekki
framkvæmd,sþgven,framkvæma
á,aþ,á
þessu,faheþ,þessi
ári,nheþ,ár
.,.,.
,,
Ég,fp1en,ég
skrifaði,sfg1eþ,skrifa
þetta,faheo,þessi
hjá,aþ,hjá
mér,fp1eþ,ég
",",",",","
og,c,og
ég,fp1en,ég
hygg,sfg1en,hyggja
",",",",","
að,c,að
hv.,lheþsf,hv.
þm.,lheþsf,þm.
hafi,svg3en,hafa
sagt,ssg,segja
þetta,fahen,þessi
.,.,.
,,
Og,c,og
þetta,fahen,þessi
þykja,sfg3fn,þykja
mér,fp1eþ,ég
allmikil,lhfosf,allmikill
tíðindi,nhfo,tíðindi
.,.,.
,,
Á,aþ,á
síðasta,lheþve,síðari
þingi,nheþ,þing
var,sfg3eþ,vera
samþ.,nhen,samþ.
að,cn,að
fela,sng,fela
ríkisstj.,nvfn,ríkisstj.
að,aþ,að
afla,nkeþ,afli
300,ta,300
millj.,tfvfe,millj.
kr.,nvfe,kr.
á,aþ,á
þessu,faheþ,þessi
ári,nheþ,ár
til,ae,til
þess,fphee,það
að,cn,að
hefja,sng,hefja
framkvæmdir,nvfo,framkvæmd
á,aþ,á
byggðalínu,nveþ,byggðalína
milli,ae,milli
Suðurlands,nhee-s,Suðurland
og,c,og
Norðurlands,nhee-s,Norðurland
.,.,.
,,
Ég,fp1en,ég
sem,c,sem
iðnrh.,nven,iðnrh.
gerði,sfg3eþ,gera
að,aþ,að
sjálfsögðu,lheþsf,sjálfsagður
ráðstafanir,nvfn,ráðstöfun
til,ae,til
þess,fphee,það
",",",",","
að,c,að
þetta,fahen,þessi
verk,nhen,verk
væri,svg3eþ,vera
hafið,sþghen,hefja
af,aþ,af
fullum,lkeþsf,fullur
krafti,nkeþ,kraftur
.,.,.
,,
Ég,fp1en,ég
setti,sfg1eþ,setja
í,ao,í
það,fpheo,það
n.,aae,n.
",",",",","
og,c,og
hún,fpven,hún
hefur,sfg3en,hafa
unnið,ssg,vinna
sítt,lheosf,síður
verk,nheo,verk
mjög,aa,mjög
vel,aa,vel
.,.,.
,,
Hún,fpven,hún
hefur,sfg3en,hafa
skipt,ssg,skipta
því,fpheþ,það
niður,aa,niður
í,aþ,í
tiltekna,lkeþvf,tiltekinn
áfanga,nkeþ,áfangi
",",",",","
og,c,og
hún,fpven,hún
hefur,sfg3en,hafa
gert,ssg,gera
pantanir,nvfo,pöntun
á,aþ,á
staurum,nkfþ,staur
og,c,og
öðrum,fovfþ,annar
þörfum,nvfþ,þörf
til,ae,til
þessa,fahee,þessi
verkefnis,nhee,verkefni
.,.,.
,,
Þessar,favfn,þessi
pantanir,nvfn,pöntun
liggja,sfg3fn,liggja
nú,aa,nú
hér,aa,hér
á,aþ,á
hafnarbakkanum,nkeþg,hafnarbakki
",",",",","
og,c,og
áætlun,nven,áætlun
mín,feven,minn
og,c,og
n.,lkensf,n.
var,sfg3eþ,vera
sú,faven,sá
",",",",","
að,c,að
þetta,fahen,þessi
verk,nhen,verk
yrði,svg3eþ,verða
hafið,nheng,haf
15.,ta,15.
sept.,nvfþ,sept.
",",",",","
og,c,og
það,fphen,það
var,sfg3eþ,vera
ekkert,fohen,enginn
því,aa,því
til,ae,til
fyrirstöðu,nvee,fyrirstaða
af,aþ,af
hálfu,nveþ,hálfa
iðnrn.,lheþsf,iðnrn.
eða,c,eða
þessarar,favee,þessi
n.,lveesf,n.
",",",",","
að,c,að
hægt,lhensf,hægur
væri,svg3eþ,vera
að,cn,að
hefja,sng,hefja
þetta,faheo,þessi
verk,nheo,verk
15.,ta,15.
sept.,nvfo,sept.
,,
En,c,en
það,fphen,það
verður,sfg3en,verða
að,cn,að
hefja,sng,hefja
þetta,faheo,þessi
verk,nheo,verk
einmitt,aa,einmitt
núna,aa,núna
",",",",","
ef,c,ef
það,fphen,það
á,sfg3en,eiga
að,cn,að
vera,sng,vera
von,nven,von
til,ae,til
þess,fphee,það
að,cn,að
koma,sng,koma
á,ao,á
tengingu,nveo,tenging
frá,aþ,frá
Andakílsárvirkjun,nveþ-s,Andakílsárvirkjun
og,c,og
norður,aa,norður
að,aþ,að
Laxárvatni,nheþ-s,Laxárvatn
nm,nheþ,nm
áramótin,nhfog,áramót
1975--1976,ta,1975--1976
",",",",","
þannig,aa,þannig
að,c,að
hægt,lhensf,hægur
sé,svg3en,vera
að,cn,að
flytja,sng,flytja
raforku,nveo,raforka
",",",",","
sem,ct,sem
komi,svg3en,koma
að,aþ,að
notum,nhfþ,not
veturinn,nkeog,vetur
1975--,ta,1975--
1976,ta,1976
.,.,.
,,
Ef,c,ef
þetta,fahen,þessi
verk,nhen,verk
verður,sfg3en,verða
ekki,aa,ekki
unnið,sþghen,vinna
nú,aa,nú
í,ao,í
vetur,nkeo,vetur
",",",",","
eins,aa,eins
og,c,og
áformað,sþghen,áforma
var,sfg3eþ,vera
",",",",","
þá,aa,þá
þýðir,sfg3en,þýða
það,fphen,það
",",",",","
að,c,að
það,fphen,það
verður,sfg3en,verða
mjög,aa,mjög
alvarlegur,lkensf,alvarlegur
orkuskortur,nken,orkuskortur
í,aþ,í
Norðurl.,nheþ-s,Norðurl.
v.,sfg3en,v.
þennan,fakeo,þessi
vetur,nkeo,vetur
",",",",","
sem,ct,sem
ég,fp1en,ég
var,sfg1eþ,vera
að,cn,að
nefna,sng,nefna
",",",",","
og,c,og
ekki,aa,ekki
aðeins,aa,aðeins
orkuskortur,nken,orkuskortur
",",",",","
heldur,c,heldur
óhemjulegur,lkensf,óhemjulegur
tilkostnaður,nken,tilkostnaður
í,aþ,í
keyrslu,nveþ,keyrsla
á,aþ,á
dísilstöðvum,nvfþ,dísilstöð
.,.,.
,,
Ég,fp1en,ég
tel,sfg1en,telja
",",",",","
að,c,að
það,fphen,það
hvíli,svg3en,hvíla
ákaflega,aa,ákaflega
þung,lvensf,þungur
ábyrgð,nveo,ábyrgð
á,aþ,á
mönnum,nkfþ,maður
",",",",","
sem,ct,sem
kunna,sfg3fn,kunna
að,cn,að
ætla,sng,ætla
sér,fpkfþ,sig
að,cn,að
tefja,sng,tefja
þessa,faveo,þessi
framkvæmd,nveo,framkvæmd
.,.,.
,,
Þess,fphee,það
vegna,ae,vegna
vil,sfg1en,vilja
ég,fp1en,ég
fá,sng,fá
um,ao,um
það,fpheo,það
greið,lhfosf,greiður
svör,nhfo,svar
",",",",","
hvort,c,hvort
það,fphen,það
sé,svg3en,vera
ákveðið,lhensf,ákveðinn
innan,aa,innan
ríkisstj.,nvfn,ríkisstj.
",",",",","
að,c,að
ekki,aa,ekki
verði,svg3en,verða
ráðist,sþmhen,rá
í,ao,í
þessar,favfo,þessi
framkvæmdir,nvfo,framkvæmd
á,aþ,á
þessu,faheþ,þessi
hausti,nheþ,haust
og,c,og
þessu,faheþ,þessi
verkefni,nheþ,verkefni
frestað,sþghen,fresta
",",",",","
þannig,aa,þannig
að,c,að
raforkuflutningur,nken,raforkuflutningur
komi,svg3en,koma
ekki,aa,ekki
að,aþ,að
gagni,nheþ,gagn
fyrr,aam,fyrr
en,c,en
heilu,lheþsf,heill
ári,nheþ,ár
síðar,aam,síðar
en,c,en
áformað,sþghen,áforma
var,sfg3eþ,vera
.,.,.
,,
Ég,fp1en,ég
tel,sfg1en,telja
þetta,faheo,þessi
vera,sng,vera
ákaflega,aa,ákaflega
veigamikið,lhensf,veigamikill
mál,nhen,mál
.,.,.
,,
Í,aþ,í
tilefni,nheþ,tilefni
af,aþ,af
því,fpheþ,það
",",",",","
sem,c,sem
hæstv.,sbg2en,hæstv.
fjmrh.,nkeþ,fjmrh.
ytri,lkeþvm,ytri
sagði,sfg3eþ,segja
hér,aa,hér
áðan,aa,áðan
um,ao,um
ráðstafanir,nvfo,ráðstöfun
mínar,fevfo,minn
",",",",","
þá,aa,þá
var,sfg3eþ,vera
aldrei,aa,aldrei
tekin,sþgven,taka
um,ao,um
það,fpheo,það
nein,foven,neinn
ákvörðun,nven,ákvörðun
í,aþ,í
fyrrv.,lhfþsf,fyrrv.
ríkisstj.,nvfþ,ríkisstj.
að,cn,að
hagnýta,sng,hagnýta
ekki,aa,ekki
þessar,favfo,þessi
heimildir,nvfo,heimild
Alþ.,nkee-s,Alþ.
um,ao,um
að,cn,að
verja,sng,verja
300,ta,300
millj.,nvfþ,millj.
til,ae,til
þessara,favfe,þessi
þarfa,nvfe,þörf
",",",",","
þannig,aa,þannig
að,c,að
það,fphen,það
var,sfg3eþ,vera
í,aþ,í
fullu,lheþsf,fullur
samræmi,nheþ,samræmi
við,ao,við
ákvarðanir,nvfo,ákvörðun
Alþ.,nvee-s,Alþ.
",",",",","
sem,ct,sem
ég,fp1en,ég
hef,sfg1en,hafa
gert,ssg,gera
þær,favfo,hún
ráðstafanir,nvfo,ráðstöfun
",",",",","
sem,ct,sem
ég,fp1en,ég
gerði,sfg1eþ,gera
",",",",","
til,ae,til
þess,fphee,það
að,c,að
hægt,lhensf,hægur
yrði,svg1eþ,verða
að,cn,að
hefja,sng,hefja
þetta,faheo,þessi
verk,nheo,verk
núna,aa,núna
um,ao,um
miðjan,lkeosf,miður
sept.,nkeo,sept.
,,
En,c,en
mér,fp1eþ,ég
finnst,sfm3en,finna
það,fphen,það
vera,sng,vera
mjög,aa,mjög
alvarlegt,lhensf,alvarlegur
mál,nhen,mál
",",",",","
ef,c,ef
það,fphen,það
er,sfg3en,vera
rétt,aa,rétt
skilið,sþghen,skilja
hjá,aþ,hjá
mér,fp1eþ,ég
",",",",","
að,c,að
í,aþ,í
orðum,nhfþ,orð
hv.,lhfþsf,hv.
þm.,nhfþ,þm.
,,
Þórarins,nkee-s,Þórarinn
Þórarinssonar,nkee-s,Þórarinsson
hafi,svg3en,hafa
það,fphen,það
falist,ssm,fela
",",",",","
að,c,að
það,fphen,það
ætti,svg3eþ,eiga
ekki,aa,ekki
að,cn,að
vinna,sng,vinna
neitt,foheo,neinn
að,aþ,að
þessu,faheþ,þessi
verkefni,nheþ,verkefni
á,aþ,á
þessu,faheþ,þessi
ári,nheþ,ár
.,.,.
,,
Fyrst,c,fyrst
ég,fp1en,ég
er,sfg1en,vera
farinn,sþgken,fara
að,cn,að
spyrja,sng,spyrja
",",",",","
þá,aa,þá
er,sfg1en,vera
kannske,aa,kannske
best,lhense,góður
",",",",","
að,c,að
ég,fp1en,ég
bæti,nheþ,bæti
annarri,foveþ,annar
spurningu,nveþ,spurning
við,aa,við
til,ae,til
hæstv.,lkfesf,hæstv.
fjmrh.,nkee,fjmrh.
,,
Það,fphen,það
hefur,sfg3en,hafa
lengi,aa,lengi
verið,ssg,vera
stefna,nven,stefna
Alþ.,nkee-s,Alþ.
að,cn,að
fara,sng,fara
sér,fpveþ,sig
hægt,aa,hægt
í,ao,í
hækkun,nveo,hækkun
söluskatts,nkee,söluskattur
",",",",","
vegna,ae,vegna
þess,fphee,það
að,c,að
þegar,c,þegar
við,fp1fn,ég
gerðum,sfg1fþ,gera
samning,nkeo,samningur
um,ao,um
EFTA-aðild,nveo-s,Efta-aðild
",",",",","
þá,aa,þá
var,sfg3eþ,vera
alltaf,aa,alltaf
um,ao,um
það,fpheo,það
talað,sþghen,tala
",",",",","
að,c,að
niðurfellingu,nveo,niðurfelling
á,aþ,á
tollum,nkfþ,tolli
yrði,svg3eþ,verða
mætt,sþghen,mæta
með,ao,með
hækkun,nveo,hækkun
á,aþ,á
söluskatti,nkeþ,söluskattur
og,c,og
þarna,aa,þarna
yrði,svg3eþ,verða
að,cn,að
vera,sng,vera
um,ao,um
þó,aa,þó
nokkur,fohfo,nokkur
söluskattsstig,nhfo,söluskattsstig
upp,aa,upp
á,aþ,á
að,cn,að
hlaupa,sng,hlaupa
",",",",","
svo,aa,svo
að,c,að
söluskattur,nken,söluskattur
á,aþ,á
Íslandi,nheþ-s,Ísland
kæmist,svm3eþ,koma
ekki,aa,ekki
upp,aa,upp
úr,aþ,úr
öllu,foheþ,allur
valdi,nheþ,vald
",",",",","
þegar,c,þegar
þessi,faken,þessi
samningur,nken,samningur
væri,svg3eþ,vera
kominn,sþgken,koma
til,ae,til
fullra,lvfesf,fullur
framkvæmda,nvfe,framkvæmd
.,.,.
,,
Ég,fp1en,ég
vil,sfg1en,vilja
spyrja,sng,spyrja
hæstv.,lheosf,hæstv.
fjmrh.,nheo,fjmrh.
um,ao,um
það,fpheo,það
",",",",","
hvernig,aa,hvernig
hann,fpken,hann
hugsi,lkenof,hugsi
sér,fpkeþ,sig
",",",",","
að,c,að
haldið,sþghen,halda
verði,svg3en,verða
á,aþ,á
þessu,faheþ,þessi
máli,nheþ,mál
.,.,.
,,
Hvað,fshen,hver
jafngildir,sfg3en,jafngilda
sú,faven,sá
tollalækkun,nven,tollalækkun
",",",",","
sem,ct,sem
leiðir,sfg3en,leiða
af,aþ,af
